id,zip
4200,92102
4235,92116
4244,92109
4249,92115
4258,91950
4290,92154
4316,92121
4331,92118
4337,92123
4364,91915
4370,92009
4380,92008
4388,92117
4391,92078
4435,91942
4474,92029
4486,92037
4512,92008
4539,92127
4572,92103
4574,92056
4577,92064
4581,92115
4595,92101
4604,92037
4632,92126
4644,92111
4657,91910
4661,91911
4680,92108
4693,91942
4719,92131
4739,92129
4749,92131
4757,91942
4788,92081
4790,92110
4793,91911
4794,91913
4800,92064
4806,91911
4808,92126
4810,92130
4836,92024
4841,92154
4852,92101
4860,92037
4862,92029
4874,91910
4891,92123
4913,91942
4914,92103
4926,92037
4934,92025
4937,91942
4941,92027
4942,92027
4963,91950
4965,92101
4966,92126
4973,92056
4977,92037
4980,92111
5025,92025
5036,92102
5049,92056
5066,92024
5072,92109
5081,92121
5107,92121
5111,92105
5113,92109
5123,92111
5130,92114
5138,92101
5151,91910
5179,92154
5180,92106
5189,92126
5196,92009
5211,92117
5212,92117
5230,92126
5247,92121
5250,92107
5275,92123
5290,92104
5291,92008
5307,92122
5309,92111
5322,92071
5359,92025
5371,92020
5375,92111
5383,92020
5394,91911
5471,92154
5478,92024
5502,92081
5514,91950
5526,92110
5567,92054
5573,92117
5598,91942
5603,92027
5614,92020
5615,92020
5640,92010
5663,92123
5672,92024
5683,91932
5712,92121
5736,92118
5760,92121
5768,92081
5775,92111
5779,92103
5791,92024
5793,91911
5823,92110
5829,92056
5834,91911
5854,92104
5859,92101
5867,91950
5875,92114
5880,91977
5883,92126
5942,92117
5944,92110
5968,92108
5971,92025
5972,92037
6006,92131
6007,92064
6009,92111
6018,92011
6034,92101
6074,92101
6079,92108
6084,92121
6102,92108
6118,92130
6127,92117
6135,92120
6138,91950
6146,92027
6150,91910
6161,92111
6168,92071
6181,92173
6217,92056
6221,92123
6234,92109
6245,92101
6249,92113
6250,92120
6256,92130
6265,91942
6279,92122
6287,92020
6298,92037
6299,92071
6308,92103
6310,92115
6311,91977
6319,92025
6329,92064
6338,92109
6341,92123
6373,92037
6385,92117
6391,91915
6429,92011
6515,92064
6531,92127
6552,92075
6563,92128
6582,92109
6583,92064
6611,92126
6638,92110
6642,92111
6647,92054
6658,92126
6659,92101
6664,92054
6669,92123
6706,92154
6729,92071
6748,92108
6753,92064
6761,92056
6781,91942
6796,92107
6799,92026
6804,92128
6857,92056
6877,91911
6935,92124
6938,92122
6943,92101
6948,92065
6952,92101
6959,92108
6993,92106
7005,92115
7016,92131
7017,92110
7035,92154
7055,92020
7065,92020
7074,91950
7080,92056
7081,92014
7084,92121
7114,92078
7123,92025
7137,92020
7163,92101
7164,92037
7166,92111
7170,92024
7172,92054
7197,92108
7210,92111
7227,92025
7265,92037
7266,92108
7287,91942
7297,92131
7306,92027
7314,92101
7364,92111
7388,92020
7396,92075
7398,92127
7423,92075
7437,92108
7444,92108
7447,91950
7484,92011
7498,92120
7504,92020
7513,92115
7517,92008
7525,92127
7531,92008
7532,92103
7571,91950
7576,92054
7586,92025
7604,92054
7624,92020
7630,91910
7675,92105
7682,92111
7689,91911
7691,92025
7692,92078
7704,91942
7735,92081
7740,92101
7744,92104
7745,92104
7752,91915
7772,92123
7786,92075
7797,92115
7808,92024
7815,92126
7831,92064
7857,92078
7877,92078
7895,92126
7928,92020
7933,92113
7940,92121
7959,92081
7974,92101
7975,92120
8006,92103
8039,92025
8090,92024
8121,91911
8126,92110
8135,92078
8138,92026
8144,92108
8149,92108
8157,92104
8231,91910
8233,92078
8277,92109
8282,92071
8302,92075
8303,92127
8309,92121
8323,92026
8337,92101
8341,92111
8343,92111
8399,92027
8423,92130
8432,92064
8437,92118
8484,91942
8508,92008
8523,92020
8533,92108
8536,92054
8609,92108
8617,92130
8622,91945
8638,91942
8659,92108
8705,92108
8711,92124
8714,92115
8719,91911
8727,92037
8746,92071
8765,92078
8766,92118
8786,92106
8828,92024
8839,92024
8841,92154
8859,92108
8860,92071
8863,92024
8866,92025
8868,91902
8877,92103
8887,92025
8910,91910
8988,92078
8993,92008
9008,92154
9070,92122
9075,92081
9089,92127
9093,92113
9094,92101
9099,92065
9102,92010
9114,91942
9122,92101
9148,92025
9150,92101
9151,92101
9160,92109
9173,92081
9192,92109
9203,92075
9210,92111
9228,92104
9231,92037
9236,92114
9245,92108
9259,92128
9274,92128
9292,92111
9328,92078
9354,92103
9363,92103
9372,92105
9379,92119
9383,92113
9399,92122
9408,92024
9409,92054
9411,92111
9416,92121
9431,92122
9434,92115
9443,92117
9446,92110
9469,92106
9472,92101
9481,92064
9484,92110
9487,92110
9491,92113
9513,92025
9545,92121
9552,92024
9575,92110
9593,92078
9605,92014
9686,92102
9716,92071
9723,92154
9724,91950
9729,92029
9740,91913
9755,91950
9763,92123
9793,92008
9794,92154
9809,92078
9823,92107
9834,92104
9842,92110
9884,92010
9885,92081
9907,92111
9909,92101
9942,92109
9943,92110
9945,92110
9986,92109
9989,92037
10000,92081
10004,92037
10016,92109
10019,92026
10024,91902
10053,92109
10055,92064
10064,92115
10110,92115
10170,92105
10174,92054
10186,91911
10201,92078
10224,92081
10252,92108
10271,92128
10278,92037
10309,92115
10317,92113
10328,91910
10342,92103
10343,92064
10375,92122
10379,91911
10396,92020
10404,92056
10410,92122
10438,92065
10440,92108
10454,92109
10465,92020
10466,92114
10470,92101
10486,92117
10490,92081
10495,92026
10496,91911
10498,92102
10525,92025
10536,92081
10551,91910
10570,92024
10571,92027
10610,92056
10613,92109
10650,92104
10701,92109
10704,92071
10705,92071
10718,92108
10732,92025
10749,91950
10785,91911
10813,92110
10814,92111
10815,92111
10827,92115
10831,91942
10845,92101
10846,92117
10851,92025
10855,92065
10856,92065
10861,92122
10865,92024
10894,92101
10899,92120
10902,92024
10907,92102
10910,92116
10913,92109
10924,92154
10925,92101
10934,92111
10981,92131
10986,92020
10989,91950
10990,92064
11045,92108
11055,92118
11068,92108
11070,91950
11077,92011
11082,91950
11090,92026
11091,92117
11112,92109
11165,92029
11174,91977
11183,91950
11199,92134
11243,92010
11247,91910
11249,92110
11267,92111
11274,92071
11280,92109
11291,92117
11311,92026
11329,92104
11331,92130
11344,92104
11348,92121
11349,92101
11354,92122
11356,92105
11397,92029
11405,92020
11406,92020
11430,92024
11445,92108
11462,92120
11463,92065
11464,92065
11468,92101
11474,92121
11478,92116
11480,92024
11498,92123
11506,92020
11537,92108
11564,92121
11565,92029
11568,92111
11569,92025
11575,92130
11605,92078
11633,91911
11637,92037
11640,92071
11642,92103
11660,92121
11681,92008
11700,92010
11706,92078
11711,92102
11724,92020
11731,92117
11733,92020
11742,92126
11749,92026
11760,92108
11773,91950
11787,92027
11795,92126
11815,92101
11844,92020
11846,92029
11850,92117
11856,92104
11857,92101
11858,92026
11870,91910
11880,92126
11881,92105
11907,92110
11919,92129
11955,92109
11968,92064
11988,92025
12007,92128
12009,91945
12011,92027
12015,92101
12035,92117
12037,92113
12048,92130
12067,91950
12071,92113
12074,92122
12077,92116
12088,92109
12090,92123
12112,92011
12134,92130
12151,92108
12167,92103
12171,91913
12209,92109
12212,92113
12246,92121
12254,91913
12267,92064
12275,92024
12288,92111
12299,91910
12344,92121
12356,92037
12359,92054
12362,92107
12365,92037
12376,92109
12390,92121
12392,92101
12426,91977
12432,92101
12433,92020
12434,91913
12438,92101
12439,92118
12455,92123
12458,92103
12466,92025
12477,92024
12484,92020
12512,91910
12540,92008
12550,92081
12582,92117
12583,92123
12615,92024
12644,92101
12646,91902
12661,91977
12663,92078
12680,92105
12681,92123
12703,92078
12705,92010
12710,92101
12716,92064
12722,91911
12733,92131
12737,92078
12765,91913
12785,92020
12786,92105
12787,92117
12791,92130
12802,91950
12807,92118
12819,91950
12836,92101
12839,91932
12848,92009
12889,92078
12902,92026
12909,92108
12949,92108
12968,92109
12991,92108
13014,92105
13047,92110
13078,92024
13080,92111
13102,91950
13117,92108
13122,92009
13165,91911
13185,92110
13204,92024
13210,92101
13220,92025
13225,92009
13231,92110
13234,92110
13238,92126
13274,92111
