geoid,ctblockgroup,centroid_lon,centroid_lat,medhinc_cy,avghinc_cy,gini_fy,totpop_cy,n01_bus,s23_emp,n37_sales
060730071002,71002,6256227.463799488,1842610.3816985486,180116,234266,21.1,2335,79.0,111.0,3031.0
060730071003,71003,6260471.3098526895,1842266.1987367612,97310,131190,41.3,908,272.0,1009.0,22346.0
060730072001,72001,6254094.15333583,1841955.2988205021,174860,226658,23.4,1901,32.0,188.0,1852.0
060730072002,72002,6253526.256192519,1846829.9114646872,163858,212436,23.8,1940,50.0,146.0,787.0
060730072003,72003,6252948.779532218,1843554.759261287,160673,210868,27.2,1729,18.0,141.0,0.0
060730073021,73021,6256454.489434902,1849895.5752679985,133227,195953,29.4,777,17.0,27.0,0.0
060730073022,73022,6255783.4212849755,1848975.1489147944,135324,194780,29.3,702,17.0,27.0,0.0
060730073023,73023,6255172.538217235,1848013.1208205896,188484,256425,18.7,674,18.0,78.0,0.0
060730073031,73031,6253288.312901618,1849450.8914520536,164275,199073,23.5,972,33.0,44.0,337.0
060730073032,73032,6253714.5511252,1850246.4151782172,120434,171116,28.4,751,12.0,28.0,0.0
060730073041,73041,6254190.49430217,1851816.22773347,84517,106409,31.0,1693,85.0,138.0,3993.0
060730073042,73042,6253665.051130957,1851231.587717391,102118,106238,30.0,1582,27.0,27.0,0.0
060730074011,74011,6260054.528712743,1854564.5063096755,57308,78611,36.3,837,15.0,48.0,0.0
060730074012,74012,6259573.445469338,1853540.556486794,68225,100806,34.6,1073,22.0,170.0,0.0
060730074013,74013,6260285.630210286,1851966.219805442,128229,143425,20.9,1262,16.0,19.0,0.0
060730074021,74021,6257531.683326167,1852691.5806078278,109571,159522,29.2,1378,37.0,42.0,0.0
060730074022,74022,6258687.9517211,1851219.3361408983,111341,116358,24.1,1443,66.0,46.0,4099.0
060730074023,74023,6257490.053391295,1851511.079620909,87155,177102,34.1,784,33.0,45.0,0.0
060730075011,75011,6257470.890681323,1854427.2719393908,112304,150998,33.0,893,26.0,23.0,1516.0
060730075012,75012,6256594.606587459,1853354.7160614857,71988,85206,30.9,636,21.0,28.0,0.0
060730075013,75013,6255659.222439367,1854297.6038768678,59344,80822,35.5,855,69.0,57.0,6985.0
060730075014,75014,6256081.142761018,1855531.129347765,95756,107933,28.0,957,41.0,198.0,4146.0
060730075015,75015,6254403.29614395,1854814.2455711924,58604,65475,30.3,620,18.0,10.0,0.0
060730075021,75021,6255553.617342102,1852338.6207460389,86345,146723,35.4,1073,215.0,623.0,3560.0
060730075022,75022,6253669.971733245,1854000.1786901148,77841,110533,35.2,976,83.0,89.0,10582.0
