id,bg_geoid,ctblockgroup
9148,060730202143,202143.0
9150,060730052012,52012.0
9151,060730062001,62001.0
9160,060730079101,79101.0
9173,060730200172,200172.0
9192,060730079101,79101.0
9203,060730173061,173061.0
9210,060730085112,85112.0
9228,060730009012,9012.0
9231,060730082012,82012.0
9236,060730030013,30013.0
9245,060730089021,89021.0
9259,060730170553,170553.0
9274,060730170394,170394.0
9292,060730085112,85112.0
9328,060730200444,200444.0
9354,060730002023,2023.0
9363,060730007001,7001.0
9372,060730027123,27123.0
9379,060730097045,97045.0
9383,060730049001,49001.0
9399,060730083762,83762.0
9408,060730175021,175021.0
9409,060730185042,185042.0
9411,060730085112,85112.0
9416,060730083391,83391.0
9431,060730083793,83793.0
9434,060730029052,29052.0
9443,060730091012,91012.0
9446,060730065001,65001.0
9469,060730099011,99011.0
9472,060730056011,56011.0
9481,060730170502,170502.0
9484,060730068023,68023.0
9487,060730091082,91082.0
9491,060730036022,36022.0
9513,060730202142,202142.0
9545,060730083501,83501.0
9552,060730174031,174031.0
9575,060730065001,65001.0
9593,060730200294,200294.0
9605,060730172022,172022.0
9686,060730041013,41013.0
9716,060730166212,166212.0
9723,060730100012,100012.0
9724,060730032041,32041.0
9729,060730203132,203132.0
9740,060730134162,134162.0
9755,,117001.0
9763,060730085111,85111.0
9793,060730221012,221012.0
9794,060730100152,100152.0
9809,060730200421,200421.0
9823,060730075013,75013.0
9834,060730009012,9012.0
9842,060730065001,65001.0
9884,060730198111,198111.0
9885,060730198111,198111.0
9907,060730085112,85112.0
9909,060730052011,52011.0
9942,060730080063,80063.0
9943,060730091072,91072.0
9945,060730065001,65001.0
9986,060730076012,76012.0
9989,060730082012,82012.0
10000,060730200172,200172.0
10004,060730082012,82012.0
10016,060730079052,79052.0
10019,060730203052,203052.0
10024,060730032072,32072.0
10053,060730079052,79052.0
10055,060730170211,170211.0
10064,060730027031,27031.0
10110,060730028012,28012.0
10170,060730027082,27082.0
10174,060730183022,183022.0
10186,060730132051,132051.0
10201,060730200293,200293.0
10224,060730200172,200172.0
10252,060730089021,89021.0
10271,060730170552,170552.0
10278,060730083611,83611.0
10309,060730029032,29032.0
10317,060730036012,36012.0
10328,,123021.0
10342,060730009023,9023.0
10343,060730170212,170212.0
10375,060730083751,83751.0
10379,060730133032,133032.0
10396,060730158023,158023.0
10404,060730185221,185221.0
10410,060730083643,83643.0
10438,060730208013,208013.0
10440,060730091071,91071.0
10454,060730079112,79112.0
10465,060730160001,160001.0
10466,060730030013,30013.0
10470,060730058012,58012.0
10486,060730085033,85033.0
10490,060730198051,198051.0
10495,060730203051,203051.0
10496,060730131032,131032.0
10498,060730034043,34043.0
10525,060730202144,202144.0
10536,060730200172,200172.0
10551,060730129002,129002.0
10570,060730171084,171084.0
10571,060730202072,202072.0
10610,060730198051,198051.0
10613,060730080063,80063.0
10650,060730013023,13023.0
10701,060730079102,79102.0
10704,060730166061,166061.0
10705,060730166141,166141.0
10718,060730011001,11001.0
10732,060730207081,207081.0
10749,060730117004,117004.0
10785,060730133062,133062.0
10813,060730065001,65001.0
10814,060730085112,85112.0
10815,060730085112,85112.0
10827,060730029031,29031.0
10831,060730148033,148033.0
10845,060730051023,51023.0
10846,060730091023,91023.0
10851,060730202143,202143.0
10855,060730208121,208121.0
10856,060730208052,208052.0
10861,060730083632,83632.0
10865,060730174034,174034.0
10894,060730052012,52012.0
10899,060730096034,96034.0
10902,060730176031,176031.0
10907,060730034041,34041.0
